Name,Density,MinCol,MaxCol,StdCol,MinRow,MaxRow,StdRow,reducts,BR_time,BR_cand,GAP_time,GAP_cand,CT_time,CT_cand,faster
BM2000x30_12-14_s94172552.txt,0.4329,829,912,0.01,12,14,0.0274,2733404,18305,56037572,43523,97397270,45555,115535138,fastBR
BM2000x30_10-16_s389540631.txt,0.4331,826,921,0.0101,10,16,0.0657,2547832,26617,84902455,63414,152997915,67964,192590887,fastBR
BM2000x30_12-14_s1023803860.txt,0.4333,835,926,0.0106,12,14,0.027,2748764,17903,55215635,41487,96501427,43606,114300758,fastBR
BM2000x30_12-14_s564289651.txt,0.4334,831,915,0.0108,12,14,0.0273,2696701,17758,55299441,46543,101888044,47469,119016677,fastBR
BM2000x30_11-15_s493529697.txt,0.4337,801,923,0.0133,11,15,0.0469,2538658,21501,65929806,52557,120548571,53598,144654701,fastBR
BM2000x30_11-15_s922262499.txt,0.4344,820,942,0.0132,11,15,0.0467,2551707,21400,65538053,52011,120966605,56163,144942383,fastBR
BM2000x30_11-15_s322199852.txt,0.436,832,904,0.0097,11,15,0.0473,2490344,20694,64403926,45209,111139040,48872,135422240,fastBR
BM2000x30_9-19_s927612146.txt,0.4436,860,921,0.0088,9,19,0.0911,2375323,30735,101721833,72324,189813338,79331,245311701,fastBR
BM2000x30_9-19_s820283740.txt,0.4446,838,933,0.0112,9,19,0.092,2341394,31330,104210755,74636,189629187,80749,248040348,fastBR
BM2000x30_9-19_s1049133055.txt,0.4485,836,937,0.011,9,19,0.0917,2279375,29155,96996303,68935,181035674,74215,235792608,fastBR
BM2000x30_9-25_s89522892.txt,0.4518,845,953,0.0129,9,21,0.0924,2226083,28238,92633485,61743,162395290,67184,214591721,fastBR
BM2000x30_9-25_s184960938.txt,0.4523,865,937,0.01,9,20,0.0909,2182543,27225,90995268,65109,169746700,68852,218494672,fastBR
BM2000x30_9-23_s698979890.txt,0.4531,865,949,0.0107,9,20,0.094,2235604,27514,92539822,68006,176643395,74563,229004246,fastBR
BM2000x30_9-21_s137149764.txt,0.454,870,954,0.0114,9,21,0.0919,2192655,26926,88847633,59182,160388761,68136,210731741,fastBR
BM2000x30_9-25_s53167449.txt,0.4547,878,937,0.0081,9,21,0.0936,2208224,27409,90007344,57655,161117204,66768,211778453,fastBR
BM2000x30_9-29_s729867441.txt,0.4551,864,942,0.0083,9,21,0.0934,2154411,26978,90811770,63998,164447452,70145,216363544,fastBR
BM2000x30_9-21_s382026331.txt,0.4552,872,942,0.0096,9,21,0.0948,2180191,27821,91481095,66753,176389819,73904,225479711,fastBR
BM2000x30_9-29_s393886708.txt,0.4553,878,958,0.0099,9,21,0.0938,2204137,27124,90687999,67846,175280512,74178,223689116,fastBR
BM2000x30_9-27_s961476718.txt,0.4561,868,944,0.0094,9,21,0.0944,2242123,28007,90687456,60843,164096645,69143,213819749,fastBR
BM2000x30_9-27_s852385630.txt,0.4562,874,943,0.0078,9,21,0.0941,2200212,27379,87494807,60365,161541689,69466,211652395,fastBR
BM2000x30_9-23_s989417842.txt,0.4571,847,949,0.0099,9,20,0.0915,2163204,25614,85587657,64819,165014604,69283,212145228,fastBR
BM2000x30_9-21_s892439581.txt,0.4578,873,953,0.0093,9,21,0.0932,2175865,26045,87748312,63059,163980392,67505,209923913,fastBR
BM2000x30_9-27_s924233820.txt,0.4583,872,975,0.0106,9,21,0.0938,2094085,25822,86061997,57198,156587561,63475,205190080,fastBR
BM2000x30_9-23_s954633061.txt,0.459,875,967,0.0113,9,21,0.0938,2172672,25733,87390138,63586,164384878,69112,210962601,fastBR
BM2000x30_9-29_s141300353.txt,0.4601,884,954,0.0096,9,21,0.0942,2125816,24618,83866147,61959,160159339,64053,204883860,fastBR
BM2000x30_10-18_s956144301.txt,0.4619,894,954,0.0082,10,18,0.0827,2130531,20800,69489276,53094,131024518,54836,161571240,fastBR
BM2000x30_11-17_s774176844.txt,0.462,869,971,0.0099,11,17,0.0664,2176553,16221,53038925,41559,101306271,44266,120797781,fastBR
BM2000x30_10-18_s101072562.txt,0.4631,882,978,0.0109,10,18,0.0824,2106269,20702,66731378,52324,128515298,56346,160315594,fastBR
BM2000x30_10-18_s531858541.txt,0.4632,876,969,0.0099,10,18,0.0833,2097022,20100,66937460,50801,127210592,52931,158101424,fastBR
BM2000x30_11-17_s54129499.txt,0.4642,891,960,0.0089,11,17,0.067,2130484,16138,51156952,40040,98442292,42116,117645284,fastBR
BM2000x30_11-17_s685274802.txt,0.4654,894,977,0.0099,11,17,0.0654,2099606,15326,50757059,42236,97833903,42579,115141716,fastBR
BM2000x30_13-15_s967284220.txt,0.4662,872,986,0.0107,13,15,0.0271,1925389,10678,33189466,28120,62065995,28343,70331836,fastBR
BM2000x30_12-16_s182021138.txt,0.4667,891,982,0.0106,12,16,0.0464,1899178,11992,39181760,32939,76025309,34496,87579512,fastBR
BM2000x30_13-15_s513896373.txt,0.4668,896,974,0.011,13,15,0.0275,1903280,10579,32455349,26097,60385428,28266,68675776,fastBR
BM2000x30_13-15_s526129024.txt,0.4668,888,974,0.0106,13,15,0.0272,1904553,10570,33027865,27962,61121768,28515,69258775,fastBR
BM2000x30_12-16_s368728894.txt,0.467,868,967,0.0103,12,16,0.0467,1920204,12308,39009697,33761,73825622,32722,85353267,fastBR
BM2000x30_12-16_s469422368.txt,0.4672,886,979,0.0114,12,16,0.0473,1902739,12271,39348274,32625,75934213,33444,86586244,fastBR
BM2000x30_10-20_s32129422.txt,0.4755,915,1003,0.0098,10,20,0.0917,2000343,18050,61401877,50722,126389289,55817,153540411,fastBR
BM2000x30_10-20_s879580603.txt,0.4798,920,1009,0.0098,10,20,0.0908,1933301,16952,56975058,45178,112454971,47641,138330604,fastBR
BM2000x30_10-22_s433812982.txt,0.4807,932,1010,0.009,10,22,0.0929,1910846,17363,58337020,46275,117415633,50756,144487326,fastBR
BM2000x30_10-24_s36334379.txt,0.4815,929,1000,0.0085,10,21,0.0924,1908333,17326,57039114,45648,115076073,47136,140266557,fastBR
BM2000x30_10-20_s415836478.txt,0.4821,929,1028,0.0107,10,20,0.0918,1876987,16460,55289279,44435,111707467,46685,135518706,fastBR
BM2000x30_10-22_s534320525.txt,0.4827,927,1009,0.0091,10,21,0.0929,1871996,17578,57619927,47696,117248036,49203,142369349,fastBR
BM2000x30_10-26_s909165292.txt,0.4827,932,1007,0.009,10,22,0.0928,1909387,16751,56218102,43633,111393132,47018,136049836,fastBR
BM2000x30_10-22_s570601513.txt,0.4838,926,1012,0.0101,10,21,0.0929,1889994,16857,57164563,44393,113808912,46505,138914088,fastBR
BM2000x30_10-24_s305020527.txt,0.4851,941,1030,0.0096,10,21,0.0917,1838202,16548,54680152,41286,108872785,45065,132475645,fastBR
BM2000x30_10-28_s490080343.txt,0.4885,936,1045,0.0124,10,22,0.0945,1785034,16354,54606380,41371,108439944,44892,133584318,fastBR
BM2000x30_10-26_s141775671.txt,0.4892,941,1008,0.0086,10,22,0.0949,1815211,16125,53624412,45685,113792914,50354,138303068,fastBR
BM2000x30_10-26_s481575242.txt,0.4905,924,1023,0.0102,10,22,0.0933,1773773,14729,50733769,44711,112279319,45516,134355745,fastBR
BM2000x30_10-28_s209436182.txt,0.491,934,1032,0.0105,10,21,0.0949,1772364,15138,51659247,43873,109885775,46993,133014037,fastBR
BM2000x30_11-19_s88541788.txt,0.4916,944,1043,0.0114,11,19,0.0836,1767469,12867,42250633,32934,82993649,34187,98584801,fastBR
BM2000x30_10-24_s666011197.txt,0.4931,951,1023,0.0096,10,22,0.0939,1729630,14501,49269858,44958,107633687,45395,128356773,fastBR
BM2000x30_10-28_s191058134.txt,0.494,959,1028,0.01,10,22,0.0926,1672612,14647,47958983,39098,99207571,39988,119057362,fastBR
BM2000x30_11-19_s1007408780.txt,0.4972,957,1034,0.0093,11,19,0.0828,1628100,11978,39277912,33097,82011673,35250,95531566,fastBR
BM2000x30_12-18_s145733594.txt,0.4975,920,1054,0.0139,12,18,0.0667,1554956,9391,30464854,26984,63155858,28269,71640277,fastBR
BM2000x30_12-18_s116817957.txt,0.4987,942,1055,0.0131,12,18,0.0659,1558101,8923,28968608,24951,58946500,27686,67176366,fastBR
BM2000x30_11-19_s397302898.txt,0.4987,968,1030,0.0079,11,19,0.0827,1581538,11149,38155840,33965,81229373,34557,94073876,fastBR
BM2000x30_14-16_s675489987.txt,0.4998,964,1049,0.0107,14,16,0.0273,1384777,6002,19454927,17676,38018316,17691,41570199,fastBR
BM2000x30_14-16_s950295501.txt,0.5,936,1028,0.0099,14,16,0.0271,1392340,6055,19449154,16809,37030959,17250,40604034,fastBR
BM2000x30_13-17_s203286132.txt,0.5,963,1036,0.0102,13,17,0.0473,1521486,7229,22727012,20672,45462909,20807,50515075,fastBR
BM2000x30_13-17_s564585375.txt,0.5,935,1046,0.0122,13,17,0.0469,1499666,6934,22185975,21293,47108127,22127,52173047,fastBR
BM2000x30_12-18_s708853226.txt,0.5003,965,1061,0.01,12,18,0.0663,1529378,8395,27929111,23384,56873557,25710,65453757,fastBR
BM2000x30_14-16_s615009893.txt,0.5004,968,1034,0.0099,14,16,0.0272,1364674,5963,19249093,16823,36974123,17154,40483493,fastBR
BM2000x30_13-17_s48431487.txt,0.5016,956,1057,0.0103,13,17,0.0472,1482076,6908,22140659,19430,44522169,20097,49573543,fastBR
BM2000x30_11-21_s652800940.txt,0.5091,989,1078,0.0108,11,21,0.0895,1476489,10114,34921153,31349,75113270,31626,86836431,fastBR
BM2000x30_11-21_s714983257.txt,0.5098,954,1071,0.0118,11,21,0.0904,1515344,10464,35798476,32753,78946156,34049,91097879,fastBR
BM2000x30_11-23_s733014455.txt,0.5105,980,1071,0.0115,11,22,0.0917,1503963,10497,35270996,31358,75319078,31984,87980873,fastBR
BM2000x30_11-23_s822061706.txt,0.5107,984,1069,0.0106,11,22,0.0919,1521697,10625,35684058,33579,80115746,35302,92129503,fastBR
BM2000x30_11-27_s233372203.txt,0.511,971,1056,0.0102,11,22,0.0913,1470979,10453,34879613,30219,76140764,31396,87350243,fastBR
BM2000x30_11-21_s364319344.txt,0.5141,980,1071,0.0098,11,21,0.0915,1455648,9919,34283784,28263,71811287,31137,84106672,fastBR
BM2000x30_11-25_s428987401.txt,0.5153,996,1094,0.0111,11,22,0.0937,1445627,10128,33751312,31311,75479112,31318,86555328,fastBR
BM2000x30_11-25_s646713875.txt,0.5163,995,1068,0.0093,11,22,0.0919,1423646,9787,32503536,27641,69029605,28725,80215083,fastBR
BM2000x30_11-23_s789830223.txt,0.5168,1000,1074,0.0098,11,22,0.0918,1419428,9521,32694671,30368,71028777,30506,82365380,fastBR
BM2000x30_11-29_s62272778.txt,0.5168,999,1076,0.0097,11,22,0.0928,1417071,9827,32964155,30161,73481132,30058,83894077,fastBR
BM2000x30_11-29_s681848395.txt,0.5169,1005,1064,0.0085,11,22,0.0936,1442852,9725,33739432,31671,75303625,32864,87422529,fastBR
BM2000x30_11-27_s7739132.txt,0.5193,1007,1065,0.0084,11,22,0.0922,1382698,9078,30859493,28444,67917880,29209,77867848,fastBR
BM2000x30_11-29_s396379815.txt,0.5194,1010,1075,0.0093,11,22,0.0931,1397245,9535,31502212,31628,72457793,33194,83350613,fastBR
BM2000x30_11-27_s3535034.txt,0.5195,1004,1075,0.0089,11,22,0.0936,1385756,9208,31914527,32007,72831077,32268,83890060,fastBR
BM2000x30_11-25_s36394578.txt,0.5213,998,1092,0.0125,11,23,0.0918,1348850,8975,30359054,28738,71462739,30885,81292687,fastBR
BM2000x30_12-20_s986145007.txt,0.5263,997,1101,0.011,12,20,0.0825,1329474,6833,23466433,23993,55512435,25477,61582996,fastBR
BM2000x30_12-20_s291694452.txt,0.5277,1022,1103,0.0108,12,20,0.0823,1312837,6798,23480961,20552,49670302,21861,56006286,fastBR
BM2000x30_12-20_s784166021.txt,0.5288,1019,1103,0.0093,12,20,0.0835,1304654,6938,23071268,24829,54625641,25822,60928493,fastBR
BM2000x30_13-19_s846951194.txt,0.5309,1008,1094,0.0094,13,19,0.0666,1118158,5178,17765569,17039,38302174,17644,41692320,fastBR
BM2000x30_14-18_s461771091.txt,0.5326,1016,1112,0.0109,14,18,0.047,1001323,4193,13430878,11921,26946081,12709,29269062,fastBR
BM2000x30_14-18_s790489143.txt,0.5331,1035,1114,0.0102,14,18,0.0475,998448,4087,13449357,12330,27431037,12423,29749597,fastBR
BM2000x30_13-19_s8778200.txt,0.5332,1027,1119,0.0112,13,19,0.0667,1083904,5048,17048933,15120,35532026,15763,39323392,fastBR
BM2000x30_15-17_s559555864.txt,0.5334,1007,1096,0.0096,15,17,0.0271,1034738,3487,10682104,10106,21734629,10229,23360685,fastBR
BM2000x30_15-17_s502745531.txt,0.5337,1019,1116,0.0112,15,17,0.0275,1031239,3342,10766697,10024,21628489,10307,23178486,fastBR
BM2000x30_13-19_s140786576.txt,0.5339,1038,1100,0.0088,13,19,0.0667,1074350,5172,17369887,14561,34343784,15556,37997790,fastBR
BM2000x30_15-17_s730796038.txt,0.5345,1033,1121,0.0105,15,17,0.0271,1028809,3348,10553028,9360,20723127,9508,22235410,fastBR
BM2000x30_12-22_s315805580.txt,0.5347,1024,1109,0.0104,12,22,0.0884,1234884,6412,21852604,20498,46896039,20424,53187956,fastBR
BM2000x30_14-18_s43763137.txt,0.5348,1016,1107,0.0107,14,18,0.0467,991617,3926,12641282,10788,25143143,11017,27293293,fastBR
BM2000x30_12-22_s4504188.txt,0.5429,1053,1121,0.0091,12,22,0.0895,1152371,6098,20333657,20848,46386103,20899,51453126,fastBR
BM2000x30_12-28_s825178277.txt,0.5429,1046,1113,0.0084,12,23,0.0899,1151092,5931,20549664,18025,44880875,18484,50359137,fastBR
BM2000x30_12-22_s73826639.txt,0.545,1046,1128,0.0098,12,22,0.0889,1115240,5766,19571424,20210,46224778,20706,50886107,fastBR
BM2000x30_12-26_s538152774.txt,0.5455,1052,1118,0.0092,12,23,0.0895,1095096,5823,19416058,19390,44759018,19856,50026094,fastBR
BM2000x30_12-24_s267033636.txt,0.5459,1046,1138,0.0108,12,23,0.0901,1098346,5774,19763183,17884,43381056,18502,48561417,fastBR
BM2000x30_12-28_s498087616.txt,0.5466,1053,1123,0.0083,12,23,0.0903,1101856,5790,19451987,18612,43267926,18692,48296000,fastBR
BM2000x30_12-24_s689757848.txt,0.5467,1051,1149,0.011,12,23,0.0905,1107573,5689,19682196,19640,46619661,20879,51355133,fastBR
BM2000x30_12-26_s660094388.txt,0.5469,1057,1129,0.0086,12,23,0.0909,1108821,5892,19631277,18451,44800342,19471,49676641,fastBR
BM2000x30_12-24_s478870327.txt,0.5474,1054,1129,0.0098,12,23,0.0905,1079787,5635,19370418,15345,38854306,16338,44052142,fastBR
BM2000x30_12-28_s46046721.txt,0.5477,1048,1140,0.0109,12,23,0.0898,1085787,5776,19119260,19154,45229644,19359,49979440,fastBR
BM2000x30_12-26_s225022227.txt,0.5501,1067,1145,0.0099,12,23,0.0904,1051878,5471,18902547,20068,44263074,20416,48999580,fastBR
BM2000x30_13-21_s802998999.txt,0.5596,1076,1170,0.0103,13,21,0.082,893834,4334,14125408,13570,30494907,13644,33345414,fastBR
BM2000x30_13-21_s505252854.txt,0.5597,1086,1151,0.0087,13,21,0.0817,892294,4154,13990682,13602,31088164,13877,33933370,fastBR
BM2000x30_13-21_s133164447.txt,0.56,1081,1161,0.0098,13,21,0.0809,885196,3963,13330690,13432,30466469,13922,33222429,fastBR
BM2000x30_14-20_s312100787.txt,0.5621,1076,1161,0.0091,14,20,0.0646,854856,3078,10017988,10069,22630986,10363,24293517,fastBR
BM2000x30_14-20_s987971597.txt,0.5635,1091,1181,0.0108,14,20,0.0664,845951,2967,9878439,9488,21587899,9504,23297178,fastBR
BM2000x30_15-19_s850489287.txt,0.5643,1073,1191,0.0119,15,19,0.0461,750407,2432,7826747,7404,16292666,7483,17385754,fastBR
BM2000x30_15-19_s425288556.txt,0.5664,1104,1174,0.0104,15,19,0.0464,716129,2360,7661036,6790,15176007,6983,16232163,fastBR
BM2000x30_14-20_s104782111.txt,0.5666,1098,1173,0.0097,14,20,0.0664,828915,2991,9652396,9551,21153690,9533,22787265,fastBR
BM2000x30_16-18_s169892107.txt,0.5668,1105,1166,0.0087,16,18,0.0269,614662,2056,6516065,5619,12329698,5750,13030245,fastBR
BM2000x30_16-18_s878911257.txt,0.567,1080,1180,0.0123,16,18,0.0273,612663,2066,6526718,6081,12951326,6184,13604983,fastBR
BM2000x30_15-19_s1009355383.txt,0.5675,1091,1195,0.0121,15,19,0.0464,709070,2426,7622969,7211,15735055,7293,16667766,fastBR
BM2000x30_16-18_s267386197.txt,0.5676,1093,1205,0.0113,16,18,0.0271,612694,2167,6470718,5530,11979495,5668,12698922,fastBR
BM2000x30_13-23_s234023951.txt,0.5687,1101,1176,0.0091,13,23,0.0875,848047,3861,12634628,12626,28589308,12680,31185419,fastBR
BM2000x30_13-23_s50840366.txt,0.5699,1107,1192,0.0102,13,23,0.0858,847229,3621,12219848,11437,27485259,11943,30196866,fastBR
BM2000x30_13-29_s581271344.txt,0.5714,1113,1177,0.0083,13,23,0.0855,836467,3651,12333123,12080,28233028,12379,30633310,fastBR
