Name,Density,MinCol,MaxCol,StdCol,MinRow,MaxRow,StdRow,reducts,BR_time,BR_cand,CT_time,CT_cand,R_time,R_cand,GAP_time,GAP_cand,faster,BestTime
BM2000x30_1-29_s472743368.txt,0.5008,906,992,0.0114,5,20,0.0766,1405411,24332,51966012,75197,150786004,66001,128101184,70527,124259901,fastBR,24332
BM2000x30_1-29_s315842891.txt,0.5010,899,1003,0.0112,6,21,0.0789,1497345,23714,49244114,70616,135896276,57690,116127043,66680,110710832,fastBR,23714
BM2000x30_18-22_s821438817.txt,0.5084,1234,1320,0.0088,18,22,0.0357,303908,1278,2285881,3236,4441118,2241,3236148,3199,4287918,fastBR,1278
BM2000x30_18-22_s719537749.txt,0.5085,1222,1306,0.0104,18,22,0.0356,312882,1309,2314813,3315,4560636,2256,3316125,3260,4403790,fastBR,1309
BM2000x30_18-22_s324012613.txt,0.5101,1230,1303,0.0092,18,22,0.0359,312062,1308,2302454,3387,4595239,2333,3316815,3426,4442366,fastBR,1308
BM2000x30_16-24_s122338313.txt,0.5394,1121,1207,0.0103,16,23,0.0469,557280,2989,6025655,8551,12131812,6167,9315338,8542,11525517,fastBR,2989
BM2000x30_16-24_s322579788.txt,0.5400,1123,1229,0.0111,16,23,0.0477,547763,2936,5855001,8626,12107123,6055,9239205,8518,11501734,fastBR,2936
BM2000x30_16-24_s473164775.txt,0.5418,1124,1212,0.0102,16,23,0.0485,540673,2930,5838380,8365,11975092,5890,9161110,8381,11392279,fastBR,2930
BM2000x30_14-26_s891955977.txt,0.5808,1011,1132,0.0131,14,22,0.0581,979573,6441,13039419,20485,29582393,14874,23407633,19822,27527623,fastBR,6441
BM2000x30_14-26_s48589430.txt,0.5825,1035,1113,0.0093,14,22,0.0591,990104,6602,13319781,20221,29782843,14683,23631181,19992,27509799,fastBR,6602
BM2000x30_14-26_s444675658.txt,0.5838,1046,1109,0.0085,14,22,0.0588,985872,6321,12776479,18880,28044860,13761,22438571,18497,25808209,fastBR,6321
BM2000x30_12-28_s268262620.txt,0.6307,952,1063,0.0117,12,21,0.0686,1437815,12700,24869724,39278,61003065,29474,49922870,38246,54778523,fastBR,12700
BM2000x30_12-28_s967761920.txt,0.6308,978,1067,0.0128,12,21,0.0685,1471242,12491,25223035,37840,60140314,28668,49659485,36773,53285401,fastBR,12491
BM2000x30_12-28_s263272593.txt,0.6320,980,1066,0.0086,12,21,0.0692,1454267,12399,24982714,38233,60606560,29274,50001344,37211,53607665,fastBR,12399
BM2000x30_23-27_s607175334.txt,0.7159,1516,1588,0.0108,23,26,0.0178,53218,341,154165,304,270565,278,176884,294,267099,RSDM,278
BM2000x30_23-27_s150145347.txt,0.7164,1520,1589,0.0086,23,26,0.0182,54677,330,152572,238,269506,184,176195,244,266289,RSDM,184
BM2000x30_23-27_s64321745.txt,0.7171,1512,1596,0.0086,23,26,0.0186,55178,344,153753,243,271959,206,176622,248,268649,RSDM,206
BM2000x30_21-29_s455341373.txt,0.7764,1384,1470,0.0113,21,25,0.0249,84555,459,508875,719,872438,453,592717,669,857926,RSDM,453
BM2000x30_21-29_s62463835.txt,0.7767,1385,1467,0.0113,21,25,0.0263,85039,443,499362,710,881926,539,590449,702,866931,fastBR,443
BM2000x30_21-29_s938439272.txt,0.7769,1391,1477,0.0117,21,25,0.0245,86600,450,514654,698,889948,550,599864,712,874104,fastBR,450
